"subjectid"	"activity"	"tbodyaccmeanx"	"tbodyaccmeany"	"tbodyaccmeanz"	"tbodyaccsdx"	"tbodyaccsdy"	"tbodyaccsdz"	"tgravaccmeanx"	"tgravaccmeany"	"tgravaccmeanz"	"tgravaccsdx"	"tgravaccsdy"	"tgravaccsdz"	"tbodyaccjerkmeanx"	"tbodyaccjerkmeany"	"tbodyaccjerkmeanz"	"tbodyaccjerksdx"	"tbodyaccjerksdy"	"tbodyaccjerksdz"	"tbodygyromeanx"	"tbodygyromeany"	"tbodygyromeanz"	"tbodygyrosdx"	"tbodygyrosdy"	"tbodygyrosdz"	"tbodygyrojerkmeanx"	"tbodygyrojerkmeany"	"tbodygyrojerkmeanz"	"tbodygyrojerksdx"	"tbodygyrojerksdy"	"tbodygyrojerksdz"
"1"	1	"WALKING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"2"	1	"WALKING_UPSTAIRS"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"3"	1	"WALKING_DOWNSTAIRS"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"4"	1	"SITTING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"5"	1	"STANDING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"6"	1	"LAYING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"7"	2	"WALKING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"8"	2	"WALKING_UPSTAIRS"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"9"	2	"WALKING_DOWNSTAIRS"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"10"	2	"SITTING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"11"	2	"STANDING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"12"	2	"LAYING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
"13"	3	"WALKING"	0.274347260646063	-0.0177434918458972	-0.108925032737064	-0.607783818968688	-0.510191378479501	-0.61306429934125	0.669226222373046	0.00403879092060517	0.0921508600211059	-0.965207115039421	-0.95440802665318	-0.938900969424022	0.0789381220355816	0.0079481069090025	-0.00467469823628666	-0.63978102073413	-0.607971599340832	-0.762820240449202	-0.0309824871713436	-0.0747194855994359	0.088357304227173	-0.721192598029789	-0.682653506899942	-0.653665674372188	-0.0967092754729682	-0.0423181079782632	-0.0548303497968374	-0.731348533131935	-0.786062320321895	-0.739932395222129
